vote_id,congress,vote_time_year,vote_time_month,vote_time_date,vote_time_hour,vote_time_minute,vote_time_second,yes,no,did not vote
5001,115,1991,11,04,13,41,01,51,0,0
5002,115,1991,11,04,13,41,33,44,0,0
5022,115,1991,11,11,13,44,00,38,0,1
5029,115,1991,11,11,13,47,00,39,0,1
5033,115,1991,11,11,15,52,00,39,0,0
5034,115,1991,11,11,15,53,00,40,0,0
5035,115,1991,11,11,15,54,00,40,0,0
5036,115,1991,11,11,15,55,00,40,0,0
5037,115,1991,11,11,15,56,00,39,0,0
5038,115,1991,11,11,15,56,30,39,0,0
5039,115,1991,11,11,15,57,30,40,0,0
5040,115,1991,11,11,15,57,40,41,0,0
5041,115,1991,11,11,15,58,40,41,0,0
5051,115,1991,11,13,13,43,00,36,0,0
5056,115,1991,11,14,13,04,30,35,0,0
5057,115,1991,11,14,13,05,01,36,0,0
5058,115,1991,11,14,13,05,44,35,0,0
5061,115,1991,11,14,13,06,22,36,0,0
5062,115,1991,11,14,13,06,39,35,0,0
5063,115,1991,11,14,13,07,01,37,0,0
5065,115,1991,11,14,13,08,01,36,0,0
5068,115,1991,11,14,13,10,00,35,1,0
5081,115,1991,11,19,14,43,01,40,0,1
5089,115,1991,11,19,14,48,00,31,0,18
5086,115,1991,11,19,14,49,00,29,0,18
5097,115,1991,11,19,15,22,00,24,0,14
5101,115,1991,11,19,15,35,00,31,0,12
5132,115,1991,11,20,13,34,00,37,0,0
5153,115,1991,11,25,13,35,00,42,0,0
5155,115,1991,11,25,13,36,01,46,0,0
5156,115,1991,11,25,13,36,33,46,0,0
5173,115,1991,11,27,14,55,00,27,0,21
5176,115,1991,11,27,14,59,00,31,1,24
5174,115,1991,11,27,15,00,00,31,1,23
5177,115,1991,11,27,15,02,00,31,2,24
5179,115,1991,11,27,15,03,00,45,0,10
5193,115,1991,11,29,10,36,00,38,0,0
5194,115,1991,11,29,10,37,00,45,0,0
5195,115,1991,11,29,10,38,00,48,0,1
5196,115,1991,11,29,10,39,00,46,0,0
5206,115,1991,12,02,13,37,01,47,0,0
5211,115,1991,12,02,13,40,00,29,9,12
5209,115,1991,12,02,13,41,00,30,0,20
5228,115,1991,12,04,13,36,30,34,0,0
5225,115,1991,12,04,13,37,00,35,0,0
5236,115,1991,12,06,10,38,30,39,1,5
5245,115,1991,12,07,16,33,34,39,0,0
5246,115,1991,12,07,16,35,00,40,0,0
5271,115,1991,12,11,13,38,00,47,0,0
5290,115,1991,12,12,12,04,00,43,0,1
5291,115,1991,12,12,12,07,00,42,0,2
7242,115,1991,12,12,12,16,58,46,0,0
5308,115,1991,12,13,14,39,00,35,0,25
5319,115,1991,12,13,15,06,00,36,0,26
5317,115,1991,12,13,15,51,00,50,0,10
5321,115,1991,12,13,16,02,00,32,0,22
5315,115,1991,12,13,16,04,00,34,1,25
5322,115,1991,12,13,16,08,00,40,0,18
5318,115,1991,12,13,16,09,00,33,0,24
5323,115,1991,12,13,16,11,00,39,0,19
