vote_id,congress,topic_id,topic,vote_time_year,vote_time_month,vote_time_date,vote_time_hour,vote_time_minute,vote_time_second,member_id,vote

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,648,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,647,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,649,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,5,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,48,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,650,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,651,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,652,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,653,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,76,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,98,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,654,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,106,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,109,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,124,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,129,fjarverandi

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,134,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,162,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,655,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,176,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,656,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,191,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,7,boðaði fjarvist

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,198,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,205,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,657,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,8,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,12,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,658,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,251,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,264,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,280,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,287,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,371,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,659,boðaði fjarvist

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,10,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,372,boðaði fjarvist

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,660,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,379,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,383,fjarverandi

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,386,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,396,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,407,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,661,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,425,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,429,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,662,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,477,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,491,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,501,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,663,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,664,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,530,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,538,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,557,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,560,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,579,fjarverandi

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,13,nei

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,632,fjarverandi

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,633,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,634,já

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,630,boðaði fjarvist

29939,129,29,álit kjörbréfanefndar,2003,05,27,13,42,52,631,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,648,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,647,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,649,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,5,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,48,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,650,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,651,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,652,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,653,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,76,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,98,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,654,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,106,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,109,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,124,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,129,fjarverandi

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,134,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,162,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,655,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,176,greiðir ekki atkvæði

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,656,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,191,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,7,boðaði fjarvist

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,198,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,205,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,657,greiðir ekki atkvæði

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,8,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,12,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,658,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,251,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,264,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,280,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,287,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,371,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,659,boðaði fjarvist

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,10,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,372,boðaði fjarvist

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,660,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,379,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,383,fjarverandi

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,386,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,396,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,407,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,661,greiðir ekki atkvæði

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,425,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,429,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,662,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,477,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,491,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,501,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,663,já

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,664,greiðir ekki atkvæði

29940,129,30,álit kjörbréfanefndar,2003,05,27,13,46,46,530,já

